SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
447559,0,Cash loans,F,N,Y,2,324000,573628.5,29416.5,463500,Unaccompanied,Commercial associate,Higher education,Widow,Municipal apartment,0.018029,-14570,-1515,-34,-1366,,1,1,0,1,0,0,Accountants,3,3,3,THURSDAY,5,0,0,0,0,0,0,Business Entity Type 3,0.639756054,0.589832216,0.310818254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,-2238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
447560,0,Cash loans,F,Y,N,1,112500,269550,14112,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008019,-10861,-151,-1375,-948,11,1,1,0,1,1,0,Sales staff,3,2,2,FRIDAY,19,0,1,1,0,1,1,Trade: type 7,,0.460313875,,0.1052,0.0621,0.9881,0.8368,0.0399,0,0.2759,0.1667,0.0417,0.1005,0.0857,0.1056,0,0,0.1071,0.0644,0.9881,0.8432,0.0403,0,0.2759,0.1667,0.0417,0.1028,0.0937,0.1101,0,0,0.1062,0.0621,0.9881,0.839,0.0402,0,0.2759,0.1667,0.0417,0.1023,0.0872,0.1075,0,0,reg oper account,block of flats,0.1049,"Stone, brick",No,3,0,3,0,-1099,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447561,1,Cash loans,F,N,Y,0,45000,382500,22086,382500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209,-23630,365243,-9295,-4129,,1,0,0,1,1,0,,2,3,3,WEDNESDAY,11,0,0,0,0,0,0,XNA,0.826641015,0.053793225,0.77008707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447562,0,Revolving loans,F,N,N,1,90000,270000,13500,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,With parents,0.018634,-11235,-3013,-4624,-3633,,1,1,0,1,0,0,Medicine staff,3,2,2,TUESDAY,16,0,0,0,0,1,1,Other,,0.606502893,0.812822607,0.0876,0.0855,0.9826,0.762,0.0124,0,0.2069,0.1667,0.2083,0.03,0.0706,0.0757,0.0039,0.0185,0.0893,0.0888,0.9826,0.7713,0.0125,0,0.2069,0.1667,0.2083,0.0306,0.0771,0.0788,0.0039,0.0196,0.0885,0.0855,0.9826,0.7652,0.0125,0,0.2069,0.1667,0.2083,0.0305,0.0718,0.077,0.0039,0.0189,,block of flats,0.0703,"Stone, brick",No,1,0,1,0,-1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447563,0,Cash loans,F,N,N,2,270000,781920,42417,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006629,-16917,-5577,-6617,-471,,1,1,1,1,0,0,Managers,4,2,2,MONDAY,9,0,0,0,0,0,0,Self-employed,0.338976631,0.592712382,0.397946322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,-455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
447564,0,Cash loans,F,N,Y,2,202500,1045854,33867,873000,Unaccompanied,Working,Higher education,Married,House / apartment,0.016612,-13816,-181,-10853,-4414,,1,1,0,1,0,0,Accountants,4,2,2,FRIDAY,13,0,0,0,1,1,0,Business Entity Type 3,0.820498222,0.57693388,0.300107757,0.0268,0.0298,0.9851,,,0,0.1034,0.0833,,0.021,,0.0151,,,0.0273,0.0309,0.9851,,,0,0.1034,0.0833,,0.0215,,0.0158,,,0.0271,0.0298,0.9851,,,0,0.1034,0.0833,,0.0213,,0.0154,,,,block of flats,0.0199,"Stone, brick",No,0,0,0,0,-588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
447565,0,Cash loans,F,N,Y,0,180000,531000,15655.5,531000,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018209,-21059,365243,-10034,-4616,,1,0,0,1,0,0,,1,3,3,FRIDAY,13,0,0,0,1,0,0,XNA,,0.540906498,0.641368257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
447566,0,Cash loans,F,N,Y,0,157500,518562,22972.5,463500,Unaccompanied,Pensioner,Lower secondary,Married,House / apartment,0.019689,-23056,365243,-9789,-4094,,1,0,0,1,0,0,,2,2,2,MONDAY,9,0,0,0,0,0,0,XNA,,0.281812719,0.583237926,0.1485,0,0.9821,0.7552,0.0649,0.16,0.1379,0.3333,0.375,0.02,0.121,0.1505,,0,0.1513,0,0.9821,0.7648,0.0655,0.1611,0.1379,0.3333,0.375,0.0204,0.1322,0.1568,,0,0.1499,0,0.9821,0.7585,0.0653,0.16,0.1379,0.3333,0.375,0.0203,0.1231,0.1532,,0,not specified,block of flats,0.1183,Panel,No,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447567,0,Cash loans,F,N,Y,0,180000,900000,38263.5,900000,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-19780,-4765,-3623,-3272,,1,1,0,1,1,0,High skill tech staff,2,2,2,TUESDAY,15,0,0,0,0,0,0,Construction,,0.636992044,,0.0144,,0.9697,,,0,0.0862,0.0625,,,,0.0183,,0.0091,0.0084,,0.9682,,,0,0.069,0.0417,,,,0.0093,,0,0.0146,,0.9697,,,0,0.0862,0.0625,,,,0.0186,,0.0092,,block of flats,0.0257,"Stone, brick",No,0,0,0,0,-822,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447568,0,Cash loans,F,N,Y,0,49500,177903,12510,148500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-15704,-1177,-4187,-4445,,1,1,0,1,0,0,Medicine staff,2,2,2,THURSDAY,11,0,0,0,0,1,1,Hotel,,0.682329547,0.689479143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,-2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
447569,0,Cash loans,F,N,Y,0,135000,622413,33894,495000,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.018801,-21105,365243,-13868,-4218,,1,0,0,1,0,0,,1,2,2,SATURDAY,7,0,0,0,0,0,0,XNA,,0.488512491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-2818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
447570,0,Cash loans,F,N,Y,0,135000,384048,13923,270000,Unaccompanied,Pensioner,Secondary / secondary special,Married,Rented apartment,0.022625,-20660,365243,-9092,-4034,,1,0,0,1,1,0,,2,2,2,MONDAY,13,0,0,0,0,0,0,XNA,0.827499454,0.673914947,0.263646813,0.1639,0.0826,0.9781,0.7008,0.0151,0,0.1034,0.1667,0.0417,0.0472,0.1336,0.056,0,0,0.167,0.0857,0.9782,0.7125,0.0153,0,0.1034,0.1667,0.0417,0.0483,0.146,0.0584,0,0,0.1655,0.0826,0.9781,0.7048,0.0152,0,0.1034,0.1667,0.0417,0.0481,0.136,0.057,0,0,reg oper account,block of flats,0.0523,"Stone, brick",No,0,0,0,0,-305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
447572,0,Cash loans,M,Y,Y,0,450000,1800000,173704.5,1800000,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,-23397,-6255,-8486,-4846,10,1,1,0,1,0,0,,2,2,2,THURSDAY,17,0,0,0,0,0,0,Other,,0.700594762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,0,-1963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447573,0,Cash loans,F,Y,N,0,247500,1157670,110047.5,1125000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.026392,-14641,-1864,-8781,-4315,64,1,1,0,1,0,0,,1,2,2,MONDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.582575952,,0.2577,,0.9861,,,0.28,0.2414,0.3333,,,,0.2679,,0.0099,0.2626,,0.9861,,,0.282,0.2414,0.3333,,,,0.2791,,0.0104,0.2602,,0.9861,,,0.28,0.2414,0.3333,,,,0.2727,,0.0101,,block of flats,0.2128,Panel,No,0,0,0,0,-1586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447574,0,Cash loans,F,N,Y,1,135000,1125000,33025.5,1125000,Unaccompanied,Working,Higher education,Married,House / apartment,0.006852,-10949,-1824,-2095,-1425,,1,1,0,1,0,0,Core staff,3,3,3,SATURDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.255276502,0.093386064,0.41359676,0.0825,0.074,0.9786,,,0,0.1379,0.1667,,0,,0.0758,,0,0.084,0.0768,0.9786,,,0,0.1379,0.1667,,0,,0.079,,0,0.0833,0.074,0.9786,,,0,0.1379,0.1667,,0,,0.0772,,0,,block of flats,0.0596,"Stone, brick",No,1,0,1,0,-1381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
447576,0,Cash loans,M,Y,Y,2,157500,260568,28192.5,247500,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.016612,-11720,-1562,-5761,-762,2,1,1,0,1,0,0,Sales staff,4,2,2,WEDNESDAY,9,0,0,0,0,0,0,Trade: type 7,0.30894124,0.582427046,0.740799088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
447577,0,Revolving loans,F,N,Y,0,65025,180000,9000,180000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020713,-22881,365243,-709,-5252,,1,0,0,1,0,0,,2,3,3,MONDAY,7,0,0,0,0,0,0,XNA,,0.392321861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447578,0,Cash loans,F,N,Y,0,112500,598401,19431,499500,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.035792,-11204,-623,-2588,-2586,,1,1,0,1,0,0,,2,2,2,MONDAY,15,0,0,0,1,1,1,Business Entity Type 3,,0.63408972,0.209154699,0.0928,0.0802,0.9851,0.796,0.0124,0,0.2069,0.1667,0.0417,0.0197,0.0756,0.0867,0,0,0.0945,0.0832,0.9851,0.804,0.0125,0,0.2069,0.1667,0.0417,0.0202,0.0826,0.0903,0,0,0.0937,0.0802,0.9851,0.7987,0.0124,0,0.2069,0.1667,0.0417,0.0201,0.077,0.0883,0,0,reg oper spec account,block of flats,0.0682,"Stone, brick",No,2,0,2,0,-249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
447579,0,Cash loans,F,Y,N,0,90000,225000,12006,225000,,Commercial associate,Secondary / secondary special,Married,House / apartment,0.026392,-14939,-6115,-3107,-4696,3,1,1,0,1,0,0,,2,2,2,WEDNESDAY,12,0,0,0,0,0,0,School,,0.706908889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,-157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
447580,1,Cash loans,M,Y,Y,0,225000,450000,22018.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00712,-19358,-1985,-8799,-2891,15,1,1,0,1,0,0,Laborers,2,2,2,TUESDAY,7,0,0,0,0,0,0,Industry: type 9,,0.265311748,,0.0557,0.035,0.9767,0.6804,,0.04,0.0345,0.3333,,0.0272,0.0454,0.0289,,0.0155,0.0567,0.0363,0.9767,0.6929,,0.0403,0.0345,0.3333,,0.0278,0.0496,0.0301,,0.0164,0.0562,0.035,0.9767,0.6847,,0.04,0.0345,0.3333,,0.0276,0.0462,0.0294,,0.0158,,block of flats,0.0366,"Stone, brick",No,6,1,6,0,-1226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447581,1,Cash loans,F,Y,N,0,135000,936018,30325.5,670500,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.019689,-18775,-3150,-709,-2108,7,1,1,0,1,0,0,Managers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Self-employed,0.736693053,0.707081027,0.718032811,0.0928,0.0048,0.9786,0.7076,0.0191,0,0.2069,0.1667,0.0417,0,0.0756,0.076,0,0,0.0945,0.005,0.9786,0.719,0.0193,0,0.2069,0.1667,0.0417,0,0.0826,0.0792,0,0,0.0937,0.0048,0.9786,0.7115,0.0192,0,0.2069,0.1667,0.0417,0,0.077,0.0774,0,0,reg oper spec account,block of flats,0.0598,Panel,No,7,0,7,0,-1609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
